$CNO_AngleKeepDetails_Desc	已聚焦的標記詳細資訊保持可見的角度。
$CNO_AngleKeepDetails_Title	保持詳細資訊角度
$CNO_AngleShowDetails_Desc	相對於羅盤中心、開始顯示標記詳細資訊的角度。
$CNO_AngleShowDetails_Title	顯示詳細資訊角度
$CNO_CompassOffsetX_Desc	套用於羅盤的水平偏移。
$CNO_CompassOffsetX_Title	水平偏移
$CNO_CompassOffsetY_Desc	套用於羅盤的垂直偏移。
$CNO_CompassOffsetY_Title	垂直偏移
$CNO_CompassScale_Desc	羅盤 HUD 元素的縮放比例。
$CNO_CompassScale_Title	羅盤縮放
$CNO_FocusDelay_Desc	顯示已聚焦標記詳細資訊前的延遲。
$CNO_FocusDelay_Title	聚焦延遲
$CNO_Header_CompassMarkers	羅盤標記
$CNO_Header_CompassPosition	羅盤位置與縮放
$CNO_Header_PositionScale	位置與縮放
$CNO_Header_Timing	時間設定
$CNO_Header_Visibility	可見性
$CNO_HideInCombat_Desc	玩家戰鬥時隱藏任務列表。
$CNO_HideInCombat_Title	戰鬥時隱藏
$CNO_JoggingDelay_Desc	慢跑時顯示任務列表前的延遲。
$CNO_JoggingDelay_Title	慢跑延遲
$CNO_MaxHeight_Desc	任務列表使用的最大高度。
$CNO_MaxHeight_Title	最大高度
$CNO_Page_Compass	羅盤
$CNO_Page_QuestList	任務列表
$CNO_PositionX_Desc	任務列表的水平位置。
$CNO_PositionX_Title	水平位置
$CNO_PositionY_Desc	任務列表的垂直位置。
$CNO_PositionY_Title	垂直位置
$CNO_Scale_Desc	任務列表的縮放比例。
$CNO_Scale_Title	任務列表縮放
$CNO_ShowEnemyMarkers_Desc	在羅盤上顯示敵人標記。
$CNO_ShowEnemyMarkers_Title	顯示敵人標記
$CNO_ShowEnemyName_Desc	在已聚焦的敵人標記下顯示敵人名稱。
$CNO_ShowEnemyName_Title	顯示敵人名稱
$CNO_ShowExteriors_Desc	在室外顯示任務列表。
$CNO_ShowExteriors_Title	室外顯示
$CNO_ShowInteriorMarkers_Desc	允許支援的位置標記在室內保持可見。
$CNO_ShowInteriorMarkers_Title	顯示室內標記
$CNO_ShowInteriors_Desc	在室內顯示任務列表。
$CNO_ShowInteriors_Title	室內顯示
$CNO_ShowObjectiveTarget_Desc	在羅盤下顯示已聚焦的任務目標。
$CNO_ShowObjectiveTarget_Title	將任務目標顯示為目標
$CNO_ShowOtherObjectivesCount_Desc	顯示使用同一標記的其他任務目標數量。
$CNO_ShowOtherObjectivesCount_Title	顯示其他目標數量
$CNO_ShowUndiscovered_Desc	在羅盤上顯示未發現地點的標記。
$CNO_ShowUndiscovered_Title	顯示未發現地點
$CNO_SprintingDelay_Desc	衝刺時顯示任務列表前的延遲。
$CNO_SprintingDelay_Title	衝刺延遲
$CNO_Title	Compass Navigation Overhaul
$CNO_UndiscoveredUnknownInfo_Desc	發現地點前隱藏地點名稱。距離和高度仍保持可見。
$CNO_UndiscoveredUnknownInfo_Title	隱藏未發現地點名稱
$CNO_UndiscoveredUnknownMarker_Desc	發現地點前使用問號圖示。
$CNO_UndiscoveredUnknownMarker_Title	未發現地點使用 ?
$CNO_UseMetric_Desc	使用公制單位顯示標記距離。
$CNO_UseMetric_Title	使用公制單位
$CNO_WalkingDelay_Desc	步行時顯示任務列表前的延遲。
$CNO_WalkingDelay_Title	步行延遲
